DATE,rinvbf65Q4,rinvbf66Q1,rinvbf66Q2,rinvbf66Q3,rinvbf66Q4,rinvbf67Q1,rinvbf67Q2,rinvbf67Q3,rinvbf67Q4,rinvbf68Q1,rinvbf68Q2,rinvbf68Q3,rinvbf68Q4,rinvbf69Q1,rinvbf69Q2,rinvbf69Q3,rinvbf69Q4,rinvbf70Q1,rinvbf70Q2,rinvbf70Q3,rinvbf70Q4,rinvbf71Q1,rinvbf71Q2,rinvbf71Q3,rinvbf71Q4,rinvbf72Q1,rinvbf72Q2,rinvbf72Q3,rinvbf72Q4,rinvbf73Q1,rinvbf73Q2,rinvbf73Q3,rinvbf73Q4,rinvbf74Q1,rinvbf74Q2,rinvbf74Q3,rinvbf74Q4,rinvbf75Q1,rinvbf75Q2,rinvbf75Q3,rinvbf75Q4,rinvbf76Q1,rinvbf76Q2,rinvbf76Q3,rinvbf76Q4,rinvbf77Q1,rinvbf77Q2,rinvbf77Q3,rinvbf77Q4,rinvbf78Q1,rinvbf78Q2,rinvbf78Q3,rinvbf78Q4,rinvbf79Q1,rinvbf79Q2,rinvbf79Q3,rinvbf79Q4,rinvbf80Q1,rinvbf80Q2,rinvbf80Q3,rinvbf80Q4,rinvbf81Q1,rinvbf81Q2,rinvbf81Q3,rinvbf81Q4,rinvbf82Q1,rinvbf82Q2,rinvbf82Q3,rinvbf82Q4,rinvbf83Q1,rinvbf83Q2,rinvbf83Q3,rinvbf83Q4,rinvbf84Q1,rinvbf84Q2,rinvbf84Q3,rinvbf84Q4,rinvbf85Q1,rinvbf85Q2,rinvbf85Q3,rinvbf85Q4,rinvbf86Q1,rinvbf86Q2,rinvbf86Q3,rinvbf86Q4,rinvbf87Q1,rinvbf87Q2,rinvbf87Q3,rinvbf87Q4,rinvbf88Q1,rinvbf88Q2,rinvbf88Q3,rinvbf88Q4,rinvbf89Q1,rinvbf89Q2,rinvbf89Q3,rinvbf89Q4,rinvbf90Q1,rinvbf90Q2,rinvbf90Q3,rinvbf90Q4,rinvbf91Q1,rinvbf91Q2,rinvbf91Q3,rinvbf91Q4,rinvbf92Q1,rinvbf92Q2,rinvbf92Q3,rinvbf92Q4,rinvbf93Q1,rinvbf93Q2,rinvbf93Q3,rinvbf93Q4,rinvbf94Q1,rinvbf94Q2,rinvbf94Q3,rinvbf94Q4,rinvbf95Q1,rinvbf95Q2,rinvbf95Q3,rinvbf95Q4,rinvbf96Q1,rinvbf96Q2,rinvbf96Q3,rinvbf96Q4,rinvbf97Q1,rinvbf97Q2,rinvbf97Q3,rinvbf97Q4,rinvbf98Q1,rinvbf98Q2,rinvbf98Q3,rinvbf98Q4,rinvbf99Q1,rinvbf99Q2,rinvbf99Q3,rinvbf99Q4,rinvbf00Q1,rinvbf00Q2,rinvbf00Q3,rinvbf00Q4,rinvbf01Q1,rinvbf01Q2,rinvbf01Q3,rinvbf01Q4,rinvbf02Q1,rinvbf02Q2,rinvbf02Q3,rinvbf02Q4,rinvbf03Q1,rinvbf03Q2,rinvbf03Q3,rinvbf03Q4,rinvbf04Q1,rinvbf04Q2,rinvbf04Q3,rinvbf04Q4,rinvbf05Q1,rinvbf05Q2,rinvbf05Q3,rinvbf05Q4,rinvbf06Q1,rinvbf06Q2,rinvbf06Q3,rinvbf06Q4,rinvbf07Q1,rinvbf07Q2,rinvbf07Q3,rinvbf07Q4,rinvbf08Q1,rinvbf08Q2,rinvbf08Q3,rinvbf08Q4,rinvbf09Q1,rinvbf09Q2,rinvbf09Q3,rinvbf09Q4,rinvbf10Q1,rinvbf10Q2,rinvbf10Q3,rinvbf10Q4,rinvbf11Q1,rinvbf11Q2,rinvbf11Q3,rinvbf11Q4,rinvbf12Q1,rinvbf12Q2,rinvbf12Q3,rinvbf12Q4,rinvbf13Q1,rinvbf13Q2,rinvbf13Q3,rinvbf13Q4,rinvbf14Q1,rinvbf14Q2,rinvbf14Q3,rinvbf14Q4,rinvbf15Q1,rinvbf15Q2,rinvbf15Q3,rinvbf15Q4,rinvbf16Q1,rinvbf16Q2,rinvbf16Q3,rinvbf16Q4,rinvbf17Q1,rinvbf17Q2,rinvbf17Q3,rinvbf17Q4,rinvbf18Q1,rinvbf18Q2,rinvbf18Q3,rinvbf18Q4,rinvbf19Q1,rinvbf19Q2,rinvbf19Q3,rinvbf19Q4,rinvbf20Q1,rinvbf20Q2,rinvbf20Q3,rinvbf20Q4,rinvbf21Q1,rinvbf21Q2,rinvbf21Q3,rinvbf21Q4,rinvbf22Q1,rinvbf22Q2,rinvbf22Q3,rinvbf22Q4,rinvbf23Q1,rinvbf23Q2,rinvbf23Q3,rinvbf23Q4,rinvbf24Q1
1947:Q1,36.9 ,36.9 ,36.9 ,36.9 ,36.9 ,36.9 ,36.9 ,36.9 ,36.9 ,36.9 ,36.9 ,36.9 ,36.9 ,36.9 ,36.9 ,36.9 ,36.9 ,36.9 ,36.9 ,36.9 ,36.9 ,36.9 ,36.9 ,36.9 ,36.9 ,36.9 ,36.9 ,36.9 ,36.9 ,36.9 ,36.9 ,36.9 ,36.9 ,36.9 ,36.9 ,36.9 ,36.9 ,36.9 ,36.9 ,36.9 ,36.9 ,49.8 ,49.8 ,49.8 ,49.8 ,49.8 ,49.8 ,49.8 ,49.8 ,49.8 ,49.8 ,49.8 ,49.8 ,49.8 ,49.8 ,49.8 ,49.8 ,49.8 ,49.8 ,49.8 ,49.8 ,49.8 ,49.8 ,49.8 ,49.8 ,49.8 ,49.8 ,49.8 ,49.8 ,49.8 ,49.8 ,49.8 ,49.8 ,49.8 ,49.8 ,49.8 ,49.8 ,49.8 ,49.8 ,49.8 ,49.8 ,123.2 ,123.2 ,123.2 ,123.2 ,123.2 ,123.2 ,123.2 ,123.2 ,123.2 ,123.2 ,123.2 ,123.2 ,123.2 ,123.2 ,123.2 ,123.2 ,123.2 ,123.2 ,123.2 ,123.2 ,123.2 ,123.2 ,123.2 ,123.2 ,#N/A,#N/A,#N/A,#N/A,133.8 ,133.8 ,133.8 ,133.8 ,133.8 ,133.8 ,133.8 ,133.8 ,133.8 ,133.8 ,133.8 ,133.8 ,#N/A,#N/A,#N/A,#N/A,#N/A,116.3 ,116.3 ,116.3 ,116.3 ,116.3 ,116.3 ,116.3 ,116.3 ,116.3 ,116.3 ,#N/A,#N/A,111.3 ,111.3 ,111.3 ,111.3 ,111.3 ,111.3 ,111.3 ,111.3 ,111.3 ,111.3 ,111.3 ,111.3 ,111.3 ,111.3 ,111.3 ,102.7 ,102.7 ,102.7 ,102.7 ,102.7 ,102.7 ,102.7 ,102.7 ,102.7 ,102.7 ,102.7 ,102.7 ,102.7 ,102.7 ,102.7 ,102.7 ,102.7 ,102.7 ,102.7 ,102.7 ,102.7 ,102.7 ,106.5 ,106.5 ,106.5 ,106.5 ,106.5 ,106.5 ,106.5 ,106.5 ,106.1 ,106.1 ,106.1 ,106.1 ,106.1 ,106.1 ,106.1 ,106.1 ,132.6 ,132.6 ,132.6 ,132.6 ,132.6 ,132.6 ,132.6 ,132.6 ,132.6 ,132.6 ,132.6 ,132.6 ,132.6 ,132.6 ,132.6 ,132.6 ,132.6 ,132.6 ,132.6 ,132.6 ,128.5 ,128.5 ,128.5 ,128.5 ,128.5 ,128.5 ,128.5 ,128.5 ,128.5 ,128.5 ,128.5 ,128.5 ,128.5 ,128.5 ,128.5 ,128.5 ,128.5 ,128.5 ,128.5 ,128.5 ,128.5 ,129.4 ,129.4 
1947:Q2,36.2 ,36.2 ,36.2 ,36.2 ,36.2 ,36.2 ,36.2 ,36.2 ,36.2 ,36.2 ,36.2 ,36.2 ,36.2 ,36.2 ,36.2 ,36.2 ,36.2 ,36.2 ,36.2 ,36.2 ,36.2 ,36.2 ,36.2 ,36.2 ,36.2 ,36.2 ,36.2 ,36.2 ,36.2 ,36.2 ,36.2 ,36.2 ,36.2 ,36.2 ,36.2 ,36.2 ,36.2 ,36.2 ,36.2 ,36.2 ,36.2 ,48.8 ,48.8 ,48.8 ,48.8 ,48.8 ,48.8 ,48.8 ,48.8 ,48.8 ,48.8 ,48.8 ,48.8 ,48.8 ,48.8 ,48.8 ,48.8 ,48.8 ,48.8 ,48.8 ,48.8 ,48.9 ,48.9 ,48.9 ,48.9 ,48.9 ,48.9 ,48.9 ,48.9 ,48.9 ,48.9 ,48.9 ,48.9 ,48.9 ,48.9 ,48.9 ,48.9 ,48.9 ,48.9 ,48.9 ,48.9 ,121.1 ,121.1 ,121.1 ,121.1 ,121.1 ,121.1 ,121.1 ,121.1 ,121.1 ,121.1 ,121.1 ,121.1 ,121.1 ,121.1 ,121.1 ,121.1 ,121.1 ,121.1 ,121.1 ,121.1 ,121.1 ,121.1 ,121.1 ,121.1 ,#N/A,#N/A,#N/A,#N/A,131.3 ,131.3 ,131.3 ,131.3 ,131.3 ,131.3 ,131.3 ,131.3 ,131.3 ,131.3 ,131.3 ,131.3 ,#N/A,#N/A,#N/A,#N/A,#N/A,114.9 ,114.9 ,114.9 ,114.9 ,114.9 ,114.9 ,114.9 ,114.9 ,114.9 ,114.9 ,#N/A,#N/A,109.5 ,109.5 ,109.5 ,109.5 ,109.5 ,109.5 ,109.5 ,109.5 ,109.5 ,109.5 ,109.5 ,109.5 ,109.5 ,109.5 ,109.5 ,101.1 ,101.1 ,101.1 ,101.1 ,101.1 ,101.1 ,101.1 ,101.1 ,101.1 ,101.1 ,101.1 ,101.1 ,101.1 ,101.1 ,101.1 ,101.1 ,101.1 ,101.1 ,101.1 ,101.1 ,101.1 ,101.1 ,104.9 ,104.9 ,104.9 ,104.9 ,104.9 ,104.9 ,104.9 ,104.9 ,104.4 ,104.4 ,104.4 ,104.4 ,104.4 ,104.4 ,104.4 ,104.4 ,130.5 ,130.5 ,130.5 ,130.5 ,130.5 ,130.5 ,130.5 ,130.5 ,130.5 ,130.5 ,130.5 ,130.5 ,130.5 ,130.5 ,130.5 ,130.5 ,130.5 ,130.5 ,130.5 ,130.5 ,126.5 ,126.5 ,126.5 ,126.5 ,126.5 ,126.5 ,126.5 ,126.5 ,126.5 ,126.5 ,126.5 ,126.5 ,126.5 ,126.5 ,126.5 ,126.5 ,126.5 ,126.5 ,126.5 ,126.5 ,126.5 ,127.4 ,127.4 
1947:Q3,35.4 ,35.4 ,35.4 ,35.4 ,35.4 ,35.4 ,35.4 ,35.4 ,35.4 ,35.4 ,35.4 ,35.4 ,35.4 ,35.4 ,35.4 ,35.4 ,35.4 ,35.4 ,35.4 ,35.4 ,35.4 ,35.4 ,35.4 ,35.4 ,35.4 ,35.4 ,35.4 ,35.4 ,35.4 ,35.4 ,35.4 ,35.4 ,35.4 ,35.4 ,35.4 ,35.4 ,35.4 ,35.4 ,35.4 ,35.4 ,35.4 ,48.0 ,48.0 ,48.0 ,48.0 ,48.0 ,48.0 ,48.0 ,48.0 ,48.0 ,48.0 ,48.0 ,48.0 ,48.0 ,48.0 ,48.0 ,48.0 ,48.0 ,48.0 ,48.0 ,48.0 ,48.0 ,48.0 ,48.0 ,48.0 ,48.0 ,48.0 ,48.0 ,48.0 ,48.0 ,48.0 ,48.0 ,48.0 ,48.0 ,48.0 ,48.0 ,48.0 ,48.0 ,48.0 ,48.0 ,48.0 ,119.9 ,119.9 ,119.9 ,119.9 ,119.9 ,119.9 ,119.9 ,119.9 ,119.9 ,119.9 ,119.9 ,119.9 ,119.9 ,119.9 ,119.9 ,119.9 ,119.9 ,119.9 ,119.9 ,119.9 ,119.9 ,119.9 ,119.9 ,119.9 ,#N/A,#N/A,#N/A,#N/A,129.6 ,129.6 ,129.6 ,129.6 ,129.6 ,129.6 ,129.6 ,129.6 ,129.6 ,129.6 ,129.6 ,129.6 ,#N/A,#N/A,#N/A,#N/A,#N/A,112.9 ,112.9 ,112.9 ,112.9 ,112.9 ,112.9 ,112.9 ,112.9 ,112.9 ,112.9 ,#N/A,#N/A,107.3 ,107.3 ,107.3 ,107.3 ,107.3 ,107.3 ,107.3 ,107.3 ,107.3 ,107.3 ,107.3 ,107.3 ,107.3 ,107.3 ,107.3 ,99.1 ,99.1 ,99.1 ,99.1 ,99.1 ,99.1 ,99.1 ,99.1 ,99.1 ,99.1 ,99.1 ,99.1 ,99.1 ,99.1 ,99.1 ,99.1 ,99.1 ,99.1 ,99.1 ,99.1 ,99.1 ,99.1 ,102.8 ,102.8 ,102.8 ,102.8 ,102.8 ,102.8 ,102.8 ,102.8 ,102.3 ,102.3 ,102.3 ,102.3 ,102.3 ,102.3 ,102.3 ,102.3 ,128.1 ,128.1 ,128.1 ,128.1 ,128.1 ,128.1 ,128.1 ,128.1 ,128.1 ,128.1 ,128.1 ,128.1 ,128.1 ,128.1 ,128.1 ,128.1 ,128.1 ,128.1 ,128.1 ,128.1 ,124.2 ,124.2 ,124.2 ,124.2 ,124.2 ,124.2 ,124.2 ,124.2 ,124.2 ,124.2 ,124.2 ,124.2 ,124.2 ,124.2 ,124.2 ,124.2 ,124.2 ,124.2 ,124.2 ,124.2 ,124.2 ,125.0 ,125.0 
1947:Q4,36.5 ,36.5 ,36.5 ,36.5 ,36.5 ,36.5 ,36.5 ,36.5 ,36.5 ,36.5 ,36.5 ,36.5 ,36.5 ,36.5 ,36.5 ,36.5 ,36.5 ,36.5 ,36.5 ,36.5 ,36.5 ,36.5 ,36.5 ,36.5 ,36.5 ,36.5 ,36.5 ,36.5 ,36.5 ,36.5 ,36.5 ,36.5 ,36.5 ,36.5 ,36.5 ,36.5 ,36.5 ,36.5 ,36.5 ,36.5 ,36.5 ,49.0 ,49.0 ,49.0 ,49.0 ,49.0 ,49.0 ,49.0 ,49.0 ,49.0 ,49.0 ,49.0 ,49.0 ,49.0 ,49.0 ,49.0 ,49.0 ,49.0 ,49.0 ,49.0 ,49.0 ,49.0 ,49.0 ,49.0 ,49.0 ,49.0 ,49.0 ,49.0 ,49.0 ,49.0 ,49.0 ,49.0 ,49.0 ,49.0 ,49.0 ,49.0 ,49.0 ,49.0 ,49.0 ,49.0 ,49.0 ,122.2 ,122.2 ,122.2 ,122.2 ,122.2 ,122.2 ,122.2 ,122.2 ,122.2 ,122.2 ,122.2 ,122.2 ,122.2 ,122.2 ,122.2 ,122.2 ,122.2 ,122.2 ,122.2 ,122.2 ,122.2 ,122.2 ,122.2 ,122.2 ,#N/A,#N/A,#N/A,#N/A,131.4 ,131.4 ,131.4 ,131.4 ,131.4 ,131.4 ,131.4 ,131.4 ,131.4 ,131.4 ,131.4 ,131.4 ,#N/A,#N/A,#N/A,#N/A,#N/A,116.5 ,116.5 ,116.5 ,116.5 ,116.5 ,116.5 ,116.5 ,116.5 ,116.5 ,116.5 ,#N/A,#N/A,110.7 ,110.7 ,110.7 ,110.7 ,110.7 ,110.7 ,110.7 ,110.7 ,110.7 ,110.7 ,110.7 ,110.7 ,110.7 ,110.7 ,110.7 ,102.3 ,102.3 ,102.3 ,102.3 ,102.3 ,102.3 ,102.3 ,102.3 ,102.3 ,102.3 ,102.3 ,102.3 ,102.3 ,102.3 ,102.3 ,102.3 ,102.3 ,102.3 ,102.3 ,102.3 ,102.3 ,102.3 ,106.1 ,106.1 ,106.1 ,106.1 ,106.1 ,106.1 ,106.1 ,106.1 ,105.6 ,105.6 ,105.6 ,105.6 ,105.6 ,105.6 ,105.6 ,105.6 ,131.7 ,131.7 ,131.7 ,131.7 ,131.7 ,131.7 ,131.7 ,131.7 ,131.7 ,131.7 ,131.7 ,131.7 ,131.7 ,131.7 ,131.7 ,131.7 ,131.7 ,131.7 ,131.7 ,131.7 ,127.6 ,127.6 ,127.6 ,127.6 ,127.6 ,127.6 ,127.6 ,127.6 ,127.6 ,127.6 ,127.6 ,127.6 ,127.6 ,127.6 ,127.6 ,127.6 ,127.6 ,127.6 ,127.6 ,127.6 ,127.6 ,128.5 ,128.5 
1948:Q1,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,51.6 ,51.6 ,51.6 ,51.6 ,51.6 ,51.6 ,51.6 ,51.6 ,51.6 ,51.6 ,51.6 ,51.6 ,51.6 ,51.6 ,51.6 ,51.6 ,51.6 ,51.6 ,51.6 ,51.6 ,51.6 ,51.6 ,51.6 ,51.6 ,51.6 ,51.6 ,51.6 ,51.6 ,51.6 ,51.6 ,51.6 ,51.6 ,51.6 ,51.6 ,51.6 ,51.6 ,51.6 ,51.6 ,51.6 ,51.6 ,128.3 ,128.3 ,128.3 ,128.3 ,128.3 ,128.3 ,128.3 ,128.3 ,128.3 ,128.3 ,128.3 ,128.3 ,128.3 ,128.3 ,128.3 ,128.3 ,128.3 ,128.3 ,128.3 ,128.3 ,128.3 ,128.3 ,128.3 ,128.3 ,#N/A,#N/A,#N/A,#N/A,137.8 ,137.8 ,137.8 ,137.8 ,137.8 ,137.8 ,137.8 ,137.8 ,137.8 ,137.8 ,137.8 ,137.8 ,#N/A,#N/A,#N/A,#N/A,#N/A,123.4 ,123.4 ,123.4 ,123.4 ,123.4 ,123.4 ,123.4 ,123.4 ,123.4 ,123.4 ,#N/A,#N/A,117.6 ,117.6 ,117.6 ,117.6 ,117.6 ,117.6 ,117.6 ,117.6 ,117.6 ,117.6 ,117.6 ,117.6 ,117.6 ,117.6 ,117.6 ,108.6 ,108.6 ,108.6 ,108.6 ,108.6 ,108.6 ,108.6 ,108.6 ,108.6 ,108.6 ,108.6 ,108.6 ,108.6 ,108.6 ,108.6 ,108.6 ,108.6 ,108.6 ,108.6 ,108.6 ,108.6 ,108.6 ,112.7 ,112.7 ,112.7 ,112.7 ,112.7 ,112.7 ,112.7 ,112.7 ,112.2 ,112.2 ,112.2 ,112.2 ,112.2 ,112.2 ,112.2 ,112.2 ,139.3 ,139.3 ,139.3 ,139.3 ,139.3 ,139.3 ,139.3 ,139.3 ,139.3 ,139.3 ,139.3 ,139.3 ,139.3 ,139.3 ,139.3 ,139.3 ,139.3 ,139.3 ,139.3 ,139.3 ,135.0 ,135.0 ,135.0 ,135.0 ,135.0 ,135.0 ,135.0 ,135.0 ,135.0 ,135.0 ,135.0 ,135.0 ,135.0 ,135.0 ,135.0 ,135.0 ,135.0 ,135.0 ,135.0 ,135.0 ,135.0 ,136.0 ,136.0 
1948:Q2,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,125.6 ,125.6 ,125.6 ,125.6 ,125.6 ,125.6 ,125.6 ,125.6 ,125.6 ,125.6 ,125.6 ,125.6 ,125.6 ,125.6 ,125.6 ,125.6 ,125.6 ,125.6 ,125.6 ,125.6 ,125.6 ,125.6 ,125.6 ,125.6 ,#N/A,#N/A,#N/A,#N/A,134.2 ,134.2 ,134.2 ,134.2 ,134.2 ,134.2 ,134.2 ,134.2 ,134.2 ,134.2 ,134.2 ,134.2 ,#N/A,#N/A,#N/A,#N/A,#N/A,118.8 ,118.8 ,118.8 ,118.8 ,118.8 ,118.8 ,118.8 ,118.8 ,118.8 ,118.8 ,#N/A,#N/A,113.5 ,113.5 ,113.5 ,113.5 ,113.5 ,113.5 ,113.5 ,113.5 ,113.5 ,113.5 ,113.5 ,113.5 ,113.5 ,113.5 ,113.5 ,104.8 ,104.8 ,104.8 ,104.8 ,104.8 ,104.8 ,104.8 ,104.8 ,104.8 ,104.8 ,104.8 ,104.8 ,104.8 ,104.8 ,104.8 ,104.8 ,104.8 ,104.8 ,104.8 ,104.8 ,104.8 ,104.8 ,108.7 ,108.7 ,108.7 ,108.7 ,108.7 ,108.7 ,108.7 ,108.7 ,108.3 ,108.3 ,108.3 ,108.3 ,108.3 ,108.3 ,108.3 ,108.3 ,134.7 ,134.7 ,134.7 ,134.7 ,134.7 ,134.7 ,134.7 ,134.7 ,134.7 ,134.7 ,134.7 ,134.7 ,134.7 ,134.7 ,134.7 ,134.7 ,134.7 ,134.7 ,134.7 ,134.7 ,130.5 ,130.5 ,130.5 ,130.5 ,130.5 ,130.5 ,130.5 ,130.5 ,130.5 ,130.5 ,130.5 ,130.5 ,130.5 ,130.5 ,130.5 ,130.5 ,130.5 ,130.5 ,130.5 ,130.5 ,130.5 ,131.5 ,131.5 
1948:Q3,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,37.5 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,50.4 ,125.9 ,125.9 ,125.9 ,125.9 ,125.9 ,125.9 ,125.9 ,125.9 ,125.9 ,125.9 ,125.9 ,125.9 ,125.9 ,125.9 ,125.9 ,125.9 ,125.9 ,125.9 ,125.9 ,125.9 ,125.9 ,125.9 ,125.9 ,125.9 ,#N/A,#N/A,#N/A,#N/A,134.0 ,134.0 ,134.0 ,134.0 ,134.0 ,134.0 ,134.0 ,134.0 ,134.0 ,134.0 ,134.0 ,134.0 ,#N/A,#N/A,#N/A,#N/A,#N/A,118.9 ,118.9 ,118.9 ,118.9 ,118.9 ,118.9 ,118.9 ,118.9 ,118.9 ,118.9 ,#N/A,#N/A,113.9 ,113.9 ,113.9 ,113.9 ,113.9 ,113.9 ,113.9 ,113.9 ,113.9 ,113.9 ,113.9 ,113.9 ,113.9 ,113.9 ,113.9 ,105.1 ,105.1 ,105.1 ,105.1 ,105.1 ,105.1 ,105.1 ,105.1 ,105.1 ,105.1 ,105.1 ,105.1 ,105.1 ,105.1 ,105.1 ,105.1 ,105.1 ,105.1 ,105.1 ,105.1 ,105.1 ,105.1 ,109.0 ,109.0 ,109.0 ,109.0 ,109.0 ,109.0 ,109.0 ,109.0 ,108.6 ,108.6 ,108.6 ,108.6 ,108.6 ,108.6 ,108.6 ,108.6 ,135.0 ,135.0 ,135.0 ,135.0 ,135.0 ,135.0 ,135.0 ,135.0 ,135.0 ,135.0 ,135.0 ,135.0 ,135.0 ,135.0 ,135.0 ,135.0 ,135.0 ,135.0 ,135.0 ,135.0 ,130.8 ,130.8 ,130.8 ,130.8 ,130.8 ,130.8 ,130.8 ,130.8 ,130.8 ,130.8 ,130.8 ,130.8 ,130.8 ,130.8 ,130.8 ,130.8 ,130.8 ,130.8 ,130.8 ,130.8 ,130.8 ,131.8 ,131.8 
1948:Q4,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,38.5 ,51.8 ,51.8 ,51.8 ,51.8 ,51.8 ,51.8 ,51.8 ,51.8 ,51.8 ,51.8 ,51.8 ,51.8 ,51.8 ,51.8 ,51.8 ,51.8 ,51.8 ,51.8 ,51.8 ,51.8 ,51.9 ,51.9 ,51.9 ,51.9 ,51.9 ,51.9 ,51.9 ,51.9 ,51.9 ,51.9 ,51.9 ,51.9 ,51.9 ,51.9 ,51.9 ,51.9 ,51.9 ,51.9 ,51.9 ,51.9 ,129.8 ,129.8 ,129.8 ,129.8 ,129.8 ,129.8 ,129.8 ,129.8 ,129.8 ,129.8 ,129.8 ,129.8 ,129.8 ,129.8 ,129.8 ,129.8 ,129.8 ,129.8 ,129.8 ,129.8 ,129.8 ,129.8 ,129.8 ,129.8 ,#N/A,#N/A,#N/A,#N/A,138.0 ,138.0 ,138.0 ,138.0 ,138.0 ,138.0 ,138.0 ,138.0 ,138.0 ,138.0 ,138.0 ,138.0 ,#N/A,#N/A,#N/A,#N/A,#N/A,122.1 ,122.1 ,122.1 ,122.1 ,122.1 ,122.1 ,122.1 ,122.1 ,122.1 ,122.1 ,#N/A,#N/A,116.7 ,116.7 ,116.7 ,116.7 ,116.7 ,116.7 ,116.7 ,116.7 ,116.7 ,116.7 ,116.7 ,116.7 ,116.7 ,116.7 ,116.7 ,107.8 ,107.8 ,107.8 ,107.8 ,107.8 ,107.8 ,107.8 ,107.8 ,107.8 ,107.8 ,107.8 ,107.8 ,107.8 ,107.8 ,107.8 ,107.8 ,107.8 ,107.8 ,107.8 ,107.8 ,107.8 ,107.8 ,111.8 ,111.8 ,111.8 ,111.8 ,111.8 ,111.8 ,111.8 ,111.8 ,111.3 ,111.3 ,111.3 ,111.3 ,111.3 ,111.3 ,111.3 ,111.3 ,138.1 ,138.1 ,138.1 ,138.1 ,138.1 ,138.1 ,138.1 ,138.1 ,138.1 ,138.1 ,138.1 ,138.1 ,138.1 ,138.1 ,138.1 ,138.1 ,138.1 ,138.1 ,138.1 ,138.1 ,133.9 ,133.9 ,133.9 ,133.9 ,133.9 ,133.9 ,133.9 ,133.9 ,133.9 ,133.9 ,133.9 ,133.9 ,133.9 ,133.9 ,133.9 ,133.9 ,133.9 ,133.9 ,133.9 ,133.9 ,133.9 ,134.8 ,134.8 
