DATE,REX65Q4,REX66Q1,REX66Q2,REX66Q3,REX66Q4,REX67Q1,REX67Q2,REX67Q3,REX67Q4,REX68Q1,REX68Q2,REX68Q3,REX68Q4,REX69Q1,REX69Q2,REX69Q3,REX69Q4,REX70Q1,REX70Q2,REX70Q3,REX70Q4,REX71Q1,REX71Q2,REX71Q3,REX71Q4,REX72Q1,REX72Q2,REX72Q3,REX72Q4,REX73Q1,REX73Q2,REX73Q3,REX73Q4,REX74Q1,REX74Q2,REX74Q3,REX74Q4,REX75Q1,REX75Q2,REX75Q3,REX75Q4,REX76Q1,REX76Q2,REX76Q3,REX76Q4,REX77Q1,REX77Q2,REX77Q3,REX77Q4,REX78Q1,REX78Q2,REX78Q3,REX78Q4,REX79Q1,REX79Q2,REX79Q3,REX79Q4,REX80Q1,REX80Q2,REX80Q3,REX80Q4,REX81Q1,REX81Q2,REX81Q3,REX81Q4,REX82Q1,REX82Q2,REX82Q3,REX82Q4,REX83Q1,REX83Q2,REX83Q3,REX83Q4,REX84Q1,REX84Q2,REX84Q3,REX84Q4,REX85Q1,REX85Q2,REX85Q3,REX85Q4,REX86Q1,REX86Q2,REX86Q3,REX86Q4,REX87Q1,REX87Q2,REX87Q3,REX87Q4,REX88Q1,REX88Q2,REX88Q3,REX88Q4,REX89Q1,REX89Q2,REX89Q3,REX89Q4,REX90Q1,REX90Q2,REX90Q3,REX90Q4,REX91Q1,REX91Q2,REX91Q3,REX91Q4,REX92Q1,REX92Q2,REX92Q3,REX92Q4,REX93Q1,REX93Q2,REX93Q3,REX93Q4,REX94Q1,REX94Q2,REX94Q3,REX94Q4,REX95Q1,REX95Q2,REX95Q3,REX95Q4,REX96Q1,REX96Q2,REX96Q3,REX96Q4,REX97Q1,REX97Q2,REX97Q3,REX97Q4,REX98Q1,REX98Q2,REX98Q3,REX98Q4,REX99Q1,REX99Q2,REX99Q3,REX99Q4,REX00Q1,REX00Q2,REX00Q3,REX00Q4,REX01Q1,REX01Q2,REX01Q3,REX01Q4,REX02Q1,REX02Q2,REX02Q3,REX02Q4,REX03Q1,REX03Q2,REX03Q3,REX03Q4,REX04Q1,REX04Q2,REX04Q3,REX04Q4,REX05Q1,REX05Q2,REX05Q3,REX05Q4,REX06Q1,REX06Q2,REX06Q3,REX06Q4,REX07Q1,REX07Q2,REX07Q3,REX07Q4,REX08Q1,REX08Q2,REX08Q3,REX08Q4,REX09Q1,REX09Q2,REX09Q3,REX09Q4,REX10Q1,REX10Q2,REX10Q3,REX10Q4,REX11Q1,REX11Q2,REX11Q3,REX11Q4,REX12Q1,REX12Q2,REX12Q3,REX12Q4,REX13Q1,REX13Q2,REX13Q3,REX13Q4,REX14Q1,REX14Q2,REX14Q3,REX14Q4,REX15Q1,REX15Q2,REX15Q3,REX15Q4,REX16Q1,REX16Q2,REX16Q3,REX16Q4,REX17Q1,REX17Q2,REX17Q3,REX17Q4,REX18Q1,REX18Q2,REX18Q3,REX18Q4,REX19Q1,REX19Q2,REX19Q3,REX19Q4,REX20Q1,REX20Q2,REX20Q3,REX20Q4,REX21Q1,REX21Q2,REX21Q3,REX21Q4,REX22Q1,REX22Q2,REX22Q3,REX22Q4,REX23Q1,REX23Q2,REX23Q3,REX23Q4,REX24Q1
1947:Q1,23.3 ,23.3 ,23.3 ,23.3 ,23.3 ,23.3 ,23.3 ,23.3 ,23.3 ,23.3 ,23.3 ,23.3 ,23.3 ,23.3 ,23.3 ,23.3 ,23.3 ,23.3 ,23.3 ,23.3 ,23.3 ,23.3 ,23.3 ,23.3 ,23.3 ,23.3 ,23.3 ,23.3 ,23.3 ,23.3 ,23.3 ,23.3 ,23.3 ,23.3 ,23.3 ,23.3 ,23.3 ,23.3 ,23.3 ,23.3 ,23.3 ,30.8 ,30.8 ,30.8 ,30.8 ,30.8 ,30.8 ,30.8 ,30.8 ,30.8 ,30.8 ,30.8 ,30.8 ,30.8 ,30.8 ,30.8 ,30.8 ,30.8 ,30.8 ,30.8 ,30.8 ,32.8 ,32.8 ,32.8 ,32.8 ,32.8 ,32.8 ,32.8 ,32.8 ,32.8 ,32.8 ,32.8 ,32.8 ,32.8 ,32.8 ,32.8 ,32.8 ,32.8 ,32.8 ,32.8 ,32.8 ,83.9 ,83.9 ,83.9 ,83.9 ,83.9 ,83.9 ,83.9 ,83.9 ,83.9 ,83.9 ,83.9 ,83.9 ,83.9 ,83.9 ,83.9 ,83.9 ,83.9 ,83.9 ,83.9 ,83.9 ,83.9 ,83.9 ,83.9 ,83.9 ,#N/A,#N/A,#N/A,#N/A,80.1 ,80.1 ,80.1 ,80.1 ,80.1 ,80.1 ,80.1 ,80.1 ,80.1 ,80.1 ,80.1 ,80.1 ,#N/A,#N/A,#N/A,#N/A,#N/A,79.5 ,79.5 ,79.5 ,79.5 ,79.5 ,79.5 ,79.5 ,79.5 ,79.5 ,79.5 ,#N/A,#N/A,80.7 ,80.7 ,80.7 ,80.7 ,80.7 ,80.7 ,80.7 ,80.7 ,80.7 ,80.7 ,80.7 ,80.7 ,80.7 ,80.7 ,80.7 ,78.3 ,78.3 ,78.3 ,78.3 ,78.3 ,78.3 ,78.3 ,78.3 ,78.3 ,78.3 ,78.3 ,78.3 ,78.3 ,78.3 ,78.3 ,78.3 ,78.3 ,78.3 ,78.3 ,78.3 ,78.3 ,78.3 ,85.3 ,85.3 ,85.3 ,85.3 ,85.3 ,85.3 ,85.3 ,85.3 ,85.2 ,85.2 ,85.2 ,85.2 ,85.2 ,85.2 ,85.2 ,85.2 ,90.7 ,90.7 ,90.7 ,90.7 ,91.0 ,91.0 ,91.0 ,91.0 ,91.0 ,91.0 ,91.0 ,91.0 ,91.0 ,91.0 ,91.0 ,91.0 ,91.0 ,91.0 ,91.0 ,91.0 ,97.8 ,97.8 ,97.8 ,97.8 ,97.8 ,97.8 ,97.8 ,97.8 ,97.8 ,97.8 ,97.8 ,97.8 ,97.6 ,97.6 ,97.6 ,97.6 ,97.6 ,97.6 ,97.6 ,97.6 ,97.6 ,93.8 ,93.8 
1947:Q2,23.7 ,23.7 ,23.7 ,23.7 ,23.7 ,23.7 ,23.7 ,23.7 ,23.7 ,23.7 ,23.7 ,23.7 ,23.7 ,23.7 ,23.7 ,23.7 ,23.7 ,23.7 ,23.7 ,23.7 ,23.7 ,23.7 ,23.7 ,23.7 ,23.7 ,23.7 ,23.7 ,23.7 ,23.7 ,23.7 ,23.7 ,23.7 ,23.7 ,23.7 ,23.7 ,23.7 ,23.7 ,23.7 ,23.7 ,23.7 ,23.7 ,31.4 ,31.4 ,31.4 ,31.4 ,31.4 ,31.4 ,31.4 ,31.4 ,31.4 ,31.4 ,31.4 ,31.4 ,31.4 ,31.4 ,31.4 ,31.4 ,31.4 ,31.4 ,31.4 ,31.4 ,33.5 ,33.5 ,33.5 ,33.5 ,33.5 ,33.5 ,33.5 ,33.5 ,33.5 ,33.5 ,33.5 ,33.5 ,33.5 ,33.5 ,33.5 ,33.5 ,33.5 ,33.5 ,33.5 ,33.5 ,85.6 ,85.6 ,85.6 ,85.6 ,85.6 ,85.6 ,85.6 ,85.6 ,85.6 ,85.6 ,85.6 ,85.6 ,85.6 ,85.6 ,85.6 ,85.6 ,85.6 ,85.6 ,85.6 ,85.6 ,85.6 ,85.6 ,85.6 ,85.6 ,#N/A,#N/A,#N/A,#N/A,82.9 ,82.9 ,82.9 ,82.9 ,82.9 ,82.9 ,82.9 ,82.9 ,82.9 ,82.9 ,82.9 ,82.9 ,#N/A,#N/A,#N/A,#N/A,#N/A,79.3 ,79.3 ,79.3 ,79.3 ,79.3 ,79.3 ,79.3 ,79.3 ,79.3 ,79.3 ,#N/A,#N/A,79.8 ,79.8 ,79.8 ,79.8 ,79.8 ,79.8 ,79.8 ,79.8 ,79.8 ,79.8 ,79.8 ,79.8 ,79.8 ,79.8 ,79.8 ,77.5 ,77.5 ,77.5 ,77.5 ,77.5 ,77.5 ,77.5 ,77.5 ,77.5 ,77.5 ,77.5 ,77.5 ,77.5 ,77.5 ,77.5 ,77.5 ,77.5 ,77.5 ,77.5 ,77.5 ,77.5 ,77.5 ,84.2 ,84.2 ,84.2 ,84.2 ,84.2 ,84.2 ,84.2 ,84.2 ,84.2 ,84.2 ,84.2 ,84.2 ,84.2 ,84.2 ,84.2 ,84.2 ,89.5 ,89.5 ,89.5 ,89.5 ,89.8 ,89.8 ,89.8 ,89.8 ,89.8 ,89.8 ,89.8 ,89.8 ,89.8 ,89.8 ,89.8 ,89.8 ,89.8 ,89.8 ,89.8 ,89.8 ,96.5 ,96.5 ,96.5 ,96.5 ,96.5 ,96.5 ,96.5 ,96.5 ,96.5 ,96.5 ,96.5 ,96.5 ,96.4 ,96.4 ,96.4 ,96.4 ,96.4 ,96.4 ,96.4 ,96.4 ,96.4 ,92.6 ,92.6 
1947:Q3,22.9 ,22.9 ,22.9 ,22.9 ,22.9 ,22.9 ,22.9 ,22.9 ,22.9 ,22.9 ,22.9 ,22.9 ,22.9 ,22.9 ,22.9 ,22.9 ,22.9 ,22.9 ,22.9 ,22.9 ,22.9 ,22.9 ,22.9 ,22.9 ,22.9 ,22.9 ,22.9 ,22.9 ,22.9 ,22.9 ,22.9 ,22.9 ,22.9 ,22.9 ,22.9 ,22.9 ,22.9 ,22.9 ,22.9 ,22.9 ,22.9 ,30.7 ,30.7 ,30.7 ,30.7 ,30.7 ,30.7 ,30.7 ,30.7 ,30.7 ,30.7 ,30.7 ,30.7 ,30.7 ,30.7 ,30.7 ,30.7 ,30.7 ,30.7 ,30.7 ,30.7 ,32.8 ,32.8 ,32.8 ,32.8 ,32.8 ,32.8 ,32.8 ,32.8 ,32.8 ,32.8 ,32.8 ,32.8 ,32.8 ,32.8 ,32.8 ,32.8 ,32.8 ,32.8 ,32.8 ,32.8 ,83.9 ,83.9 ,83.9 ,83.9 ,83.9 ,83.9 ,83.9 ,83.9 ,83.9 ,83.9 ,83.9 ,83.9 ,83.9 ,83.9 ,83.9 ,83.9 ,83.9 ,83.9 ,83.9 ,83.9 ,83.9 ,83.9 ,83.9 ,83.9 ,#N/A,#N/A,#N/A,#N/A,80.7 ,80.7 ,80.7 ,80.7 ,80.7 ,80.7 ,80.7 ,80.7 ,80.7 ,80.7 ,80.7 ,80.7 ,#N/A,#N/A,#N/A,#N/A,#N/A,75.6 ,75.6 ,75.6 ,75.6 ,75.6 ,75.6 ,75.6 ,75.6 ,75.6 ,75.6 ,#N/A,#N/A,75.9 ,75.9 ,75.9 ,75.9 ,75.9 ,75.9 ,75.9 ,75.9 ,75.9 ,75.9 ,75.9 ,75.9 ,75.9 ,75.9 ,75.9 ,73.7 ,73.7 ,73.7 ,73.7 ,73.7 ,73.7 ,73.7 ,73.7 ,73.7 ,73.7 ,73.7 ,73.7 ,73.7 ,73.7 ,73.7 ,73.7 ,73.7 ,73.7 ,73.7 ,73.7 ,73.7 ,73.7 ,80.0 ,80.0 ,80.0 ,80.0 ,80.0 ,80.0 ,80.0 ,80.0 ,79.9 ,79.9 ,79.9 ,79.9 ,79.9 ,79.9 ,79.9 ,79.9 ,85.0 ,85.0 ,85.0 ,85.0 ,85.3 ,85.3 ,85.3 ,85.3 ,85.3 ,85.3 ,85.3 ,85.3 ,85.3 ,85.3 ,85.3 ,85.3 ,85.3 ,85.3 ,85.3 ,85.3 ,91.6 ,91.6 ,91.6 ,91.6 ,91.6 ,91.6 ,91.6 ,91.6 ,91.6 ,91.6 ,91.6 ,91.6 ,91.5 ,91.5 ,91.5 ,91.5 ,91.5 ,91.5 ,91.5 ,91.5 ,91.5 ,87.9 ,87.9 
1947:Q4,20.5 ,20.5 ,20.5 ,20.5 ,20.5 ,20.5 ,20.5 ,20.5 ,20.5 ,20.5 ,20.5 ,20.5 ,20.5 ,20.5 ,20.5 ,20.5 ,20.5 ,20.5 ,20.5 ,20.5 ,20.5 ,20.5 ,20.5 ,20.5 ,20.5 ,20.5 ,20.5 ,20.5 ,20.5 ,20.5 ,20.5 ,20.5 ,20.5 ,20.5 ,20.5 ,20.5 ,20.5 ,20.5 ,20.5 ,20.5 ,20.5 ,27.7 ,27.7 ,27.7 ,27.7 ,27.7 ,27.7 ,27.7 ,27.7 ,27.7 ,27.7 ,27.7 ,27.7 ,27.7 ,27.7 ,27.7 ,27.7 ,27.7 ,27.7 ,27.7 ,27.7 ,29.8 ,29.8 ,29.8 ,29.8 ,29.8 ,29.8 ,29.8 ,29.8 ,29.8 ,29.8 ,29.8 ,29.8 ,29.8 ,29.8 ,29.8 ,29.8 ,29.8 ,29.8 ,29.8 ,29.8 ,75.9 ,75.9 ,75.9 ,75.9 ,75.9 ,75.9 ,75.9 ,75.9 ,75.9 ,75.9 ,75.9 ,75.9 ,75.9 ,75.9 ,75.9 ,75.9 ,75.9 ,75.9 ,75.9 ,75.9 ,75.9 ,75.9 ,75.9 ,75.9 ,#N/A,#N/A,#N/A,#N/A,72.5 ,72.5 ,72.5 ,72.5 ,72.5 ,72.5 ,72.5 ,72.5 ,72.5 ,72.5 ,72.5 ,72.5 ,#N/A,#N/A,#N/A,#N/A,#N/A,67.0 ,67.0 ,67.0 ,67.0 ,67.0 ,67.0 ,67.0 ,67.0 ,67.0 ,67.0 ,#N/A,#N/A,67.3 ,67.3 ,67.3 ,67.3 ,67.3 ,67.3 ,67.3 ,67.3 ,67.3 ,67.3 ,67.3 ,67.3 ,67.3 ,67.3 ,67.3 ,65.3 ,65.3 ,65.3 ,65.3 ,65.3 ,65.3 ,65.3 ,65.3 ,65.3 ,65.3 ,65.3 ,65.3 ,65.3 ,65.3 ,65.3 ,65.3 ,65.3 ,65.3 ,65.3 ,65.3 ,65.3 ,65.3 ,70.9 ,70.9 ,70.9 ,70.9 ,70.9 ,70.9 ,70.9 ,70.9 ,70.8 ,70.8 ,70.8 ,70.8 ,70.8 ,70.8 ,70.8 ,70.8 ,75.3 ,75.3 ,75.3 ,75.3 ,75.6 ,75.6 ,75.6 ,75.6 ,75.6 ,75.6 ,75.6 ,75.6 ,75.6 ,75.6 ,75.6 ,75.6 ,75.6 ,75.6 ,75.6 ,75.6 ,81.2 ,81.2 ,81.2 ,81.2 ,81.2 ,81.2 ,81.2 ,81.2 ,81.2 ,81.2 ,81.2 ,81.2 ,81.1 ,81.1 ,81.1 ,81.1 ,81.1 ,81.1 ,81.1 ,81.1 ,81.1 ,77.9 ,77.9 
1948:Q1,19.3 ,19.3 ,19.3 ,19.3 ,19.3 ,19.3 ,19.3 ,19.3 ,19.3 ,19.3 ,19.3 ,19.3 ,19.3 ,19.3 ,19.3 ,19.3 ,19.3 ,19.3 ,19.3 ,19.3 ,19.3 ,19.3 ,19.3 ,19.3 ,19.3 ,19.3 ,19.3 ,19.3 ,19.3 ,19.3 ,19.3 ,19.3 ,19.3 ,19.3 ,19.3 ,19.3 ,19.3 ,19.3 ,19.3 ,19.3 ,19.3 ,26.0 ,26.0 ,26.0 ,26.0 ,26.0 ,26.0 ,26.0 ,26.0 ,26.0 ,26.0 ,26.0 ,26.0 ,26.0 ,26.0 ,26.0 ,26.0 ,26.0 ,26.0 ,26.0 ,26.0 ,28.2 ,28.2 ,28.2 ,28.2 ,28.2 ,28.2 ,28.2 ,28.2 ,28.2 ,28.2 ,28.2 ,28.2 ,28.2 ,28.2 ,28.2 ,28.2 ,28.2 ,28.2 ,28.2 ,28.2 ,71.5 ,71.5 ,71.5 ,71.5 ,71.5 ,71.5 ,71.5 ,71.5 ,71.5 ,71.5 ,71.5 ,71.5 ,71.5 ,71.5 ,71.5 ,71.5 ,71.5 ,71.5 ,71.5 ,71.5 ,71.5 ,71.5 ,71.5 ,71.5 ,#N/A,#N/A,#N/A,#N/A,65.6 ,65.6 ,65.6 ,65.6 ,65.6 ,65.6 ,65.6 ,65.6 ,65.6 ,65.6 ,65.6 ,65.6 ,#N/A,#N/A,#N/A,#N/A,#N/A,63.8 ,63.8 ,63.8 ,63.8 ,63.8 ,63.8 ,63.8 ,63.8 ,63.8 ,63.8 ,#N/A,#N/A,64.2 ,64.2 ,64.2 ,64.2 ,64.2 ,64.2 ,64.2 ,64.2 ,64.2 ,64.2 ,64.2 ,64.2 ,64.2 ,64.2 ,64.2 ,62.3 ,62.3 ,62.3 ,62.3 ,62.3 ,62.3 ,62.3 ,62.3 ,62.3 ,62.3 ,62.3 ,62.3 ,62.3 ,62.3 ,62.3 ,62.3 ,62.3 ,62.3 ,62.3 ,62.3 ,62.3 ,62.3 ,67.7 ,67.7 ,67.7 ,67.7 ,67.7 ,67.7 ,67.7 ,67.7 ,67.6 ,67.6 ,67.6 ,67.6 ,67.6 ,67.6 ,67.6 ,67.6 ,71.9 ,71.9 ,71.9 ,71.9 ,72.2 ,72.2 ,72.2 ,72.2 ,72.2 ,72.2 ,72.2 ,72.2 ,72.2 ,72.2 ,72.2 ,72.2 ,72.2 ,72.2 ,72.2 ,72.2 ,77.5 ,77.5 ,77.5 ,77.5 ,77.5 ,77.5 ,77.5 ,77.5 ,77.5 ,77.5 ,77.5 ,77.5 ,77.4 ,77.4 ,77.4 ,77.4 ,77.4 ,77.4 ,77.4 ,77.4 ,77.4 ,74.4 ,74.4 
1948:Q2,17.7 ,17.7 ,17.7 ,17.7 ,17.7 ,17.7 ,17.7 ,17.7 ,17.7 ,17.7 ,17.7 ,17.7 ,17.7 ,17.7 ,17.7 ,17.7 ,17.7 ,17.7 ,17.7 ,17.7 ,17.7 ,17.7 ,17.7 ,17.7 ,17.7 ,17.7 ,17.7 ,17.7 ,17.7 ,17.7 ,17.7 ,17.7 ,17.7 ,17.7 ,17.7 ,17.7 ,17.7 ,17.7 ,17.7 ,17.7 ,17.7 ,23.6 ,23.6 ,23.6 ,23.6 ,23.6 ,23.6 ,23.6 ,23.6 ,23.6 ,23.6 ,23.6 ,23.6 ,23.6 ,23.6 ,23.6 ,23.6 ,23.6 ,23.6 ,23.6 ,23.6 ,25.8 ,25.8 ,25.8 ,25.8 ,25.8 ,25.8 ,25.8 ,25.8 ,25.8 ,25.8 ,25.8 ,25.8 ,25.8 ,25.8 ,25.8 ,25.8 ,25.8 ,25.8 ,25.8 ,25.8 ,65.0 ,65.0 ,65.0 ,65.0 ,65.0 ,65.0 ,65.0 ,65.0 ,65.0 ,65.0 ,65.0 ,65.0 ,65.0 ,65.0 ,65.0 ,65.0 ,65.0 ,65.0 ,65.0 ,65.0 ,65.0 ,65.0 ,65.0 ,65.0 ,#N/A,#N/A,#N/A,#N/A,59.1 ,59.1 ,59.1 ,59.1 ,59.1 ,59.1 ,59.1 ,59.1 ,59.1 ,59.1 ,59.1 ,59.1 ,#N/A,#N/A,#N/A,#N/A,#N/A,57.7 ,57.7 ,57.7 ,57.7 ,57.7 ,57.7 ,57.7 ,57.7 ,57.7 ,57.7 ,#N/A,#N/A,58.1 ,58.1 ,58.1 ,58.1 ,58.1 ,58.1 ,58.1 ,58.1 ,58.1 ,58.1 ,58.1 ,58.1 ,58.1 ,58.1 ,58.1 ,56.4 ,56.4 ,56.4 ,56.4 ,56.4 ,56.4 ,56.4 ,56.4 ,56.4 ,56.4 ,56.4 ,56.4 ,56.4 ,56.4 ,56.4 ,56.4 ,56.4 ,56.4 ,56.4 ,56.4 ,56.4 ,56.4 ,61.3 ,61.3 ,61.3 ,61.3 ,61.3 ,61.3 ,61.3 ,61.3 ,61.3 ,61.3 ,61.3 ,61.3 ,61.3 ,61.3 ,61.3 ,61.3 ,65.2 ,65.2 ,65.2 ,65.2 ,65.4 ,65.4 ,65.4 ,65.4 ,65.4 ,65.4 ,65.4 ,65.4 ,65.4 ,65.4 ,65.4 ,65.4 ,65.4 ,65.4 ,65.4 ,65.4 ,70.3 ,70.3 ,70.3 ,70.3 ,70.3 ,70.3 ,70.3 ,70.3 ,70.3 ,70.3 ,70.3 ,70.3 ,70.2 ,70.2 ,70.2 ,70.2 ,70.2 ,70.2 ,70.2 ,70.2 ,70.2 ,67.4 ,67.4 
1948:Q3,18.0 ,18.0 ,18.0 ,18.0 ,18.0 ,18.0 ,18.0 ,18.0 ,18.0 ,18.0 ,18.0 ,18.0 ,18.0 ,18.0 ,18.0 ,18.0 ,18.0 ,18.0 ,18.0 ,18.0 ,18.0 ,18.0 ,18.0 ,18.0 ,18.0 ,18.0 ,18.0 ,18.0 ,18.0 ,18.0 ,18.0 ,18.0 ,18.0 ,18.0 ,18.0 ,18.0 ,18.0 ,18.0 ,18.0 ,18.0 ,18.0 ,23.9 ,23.9 ,23.9 ,23.9 ,23.9 ,23.9 ,23.9 ,23.9 ,23.9 ,23.9 ,23.9 ,23.9 ,23.9 ,23.9 ,23.9 ,23.9 ,23.9 ,23.9 ,23.9 ,23.9 ,26.0 ,26.0 ,26.0 ,26.0 ,26.0 ,26.0 ,26.0 ,26.0 ,26.0 ,26.0 ,26.0 ,26.0 ,26.0 ,26.0 ,26.0 ,26.0 ,26.0 ,26.0 ,26.0 ,26.0 ,65.4 ,65.4 ,65.4 ,65.4 ,65.4 ,65.4 ,65.4 ,65.4 ,65.4 ,65.4 ,65.4 ,65.4 ,65.4 ,65.4 ,65.4 ,65.4 ,65.4 ,65.4 ,65.4 ,65.4 ,65.4 ,65.4 ,65.4 ,65.4 ,#N/A,#N/A,#N/A,#N/A,60.1 ,60.1 ,60.1 ,60.1 ,60.1 ,60.1 ,60.1 ,60.1 ,60.1 ,60.1 ,60.1 ,60.1 ,#N/A,#N/A,#N/A,#N/A,#N/A,59.0 ,59.0 ,59.0 ,59.0 ,59.0 ,59.0 ,59.0 ,59.0 ,59.0 ,59.0 ,#N/A,#N/A,59.5 ,59.5 ,59.5 ,59.5 ,59.5 ,59.5 ,59.5 ,59.5 ,59.5 ,59.5 ,59.5 ,59.5 ,59.5 ,59.5 ,59.5 ,57.7 ,57.7 ,57.7 ,57.7 ,57.7 ,57.7 ,57.7 ,57.7 ,57.7 ,57.7 ,57.7 ,57.7 ,57.7 ,57.7 ,57.7 ,57.7 ,57.7 ,57.7 ,57.7 ,57.7 ,57.7 ,57.7 ,62.8 ,62.8 ,62.8 ,62.8 ,62.8 ,62.8 ,62.8 ,62.8 ,62.7 ,62.7 ,62.7 ,62.7 ,62.7 ,62.7 ,62.7 ,62.7 ,66.7 ,66.7 ,66.7 ,66.7 ,67.0 ,67.0 ,67.0 ,67.0 ,67.0 ,67.0 ,67.0 ,67.0 ,67.0 ,67.0 ,67.0 ,67.0 ,67.0 ,67.0 ,67.0 ,67.0 ,71.9 ,71.9 ,71.9 ,71.9 ,71.9 ,71.9 ,71.9 ,71.9 ,71.9 ,71.9 ,71.9 ,71.9 ,71.8 ,71.8 ,71.8 ,71.8 ,71.8 ,71.8 ,71.8 ,71.8 ,71.8 ,69.0 ,69.0 
1948:Q4,17.4 ,17.4 ,17.4 ,17.4 ,17.4 ,17.4 ,17.4 ,17.4 ,17.4 ,17.4 ,17.4 ,17.4 ,17.4 ,17.4 ,17.4 ,17.4 ,17.4 ,17.4 ,17.4 ,17.4 ,17.4 ,17.4 ,17.4 ,17.4 ,17.4 ,17.4 ,17.4 ,17.4 ,17.4 ,17.4 ,17.4 ,17.4 ,17.4 ,17.4 ,17.4 ,17.4 ,17.4 ,17.4 ,17.4 ,17.4 ,17.4 ,23.2 ,23.2 ,23.2 ,23.2 ,23.2 ,23.2 ,23.2 ,23.2 ,23.2 ,23.2 ,23.2 ,23.2 ,23.2 ,23.2 ,23.2 ,23.2 ,23.2 ,23.2 ,23.2 ,23.2 ,25.1 ,25.1 ,25.1 ,25.1 ,25.1 ,25.1 ,25.1 ,25.1 ,25.1 ,25.1 ,25.1 ,25.1 ,25.1 ,25.1 ,25.1 ,25.1 ,25.1 ,25.1 ,25.1 ,25.1 ,63.0 ,63.0 ,63.0 ,63.0 ,63.0 ,63.0 ,63.0 ,63.0 ,63.0 ,63.0 ,63.0 ,63.0 ,63.0 ,63.0 ,63.0 ,63.0 ,63.0 ,63.0 ,63.0 ,63.0 ,63.0 ,63.0 ,63.0 ,63.0 ,#N/A,#N/A,#N/A,#N/A,57.9 ,57.9 ,57.9 ,57.9 ,57.9 ,57.9 ,57.9 ,57.9 ,57.9 ,57.9 ,57.9 ,57.9 ,#N/A,#N/A,#N/A,#N/A,#N/A,56.9 ,56.9 ,56.9 ,56.9 ,56.9 ,56.9 ,56.9 ,56.9 ,56.9 ,56.9 ,#N/A,#N/A,57.4 ,57.4 ,57.4 ,57.4 ,57.4 ,57.4 ,57.4 ,57.4 ,57.4 ,57.4 ,57.4 ,57.4 ,57.4 ,57.4 ,57.4 ,55.7 ,55.7 ,55.7 ,55.7 ,55.7 ,55.7 ,55.7 ,55.7 ,55.7 ,55.7 ,55.7 ,55.7 ,55.7 ,55.7 ,55.7 ,55.7 ,55.7 ,55.7 ,55.7 ,55.7 ,55.7 ,55.7 ,60.6 ,60.6 ,60.6 ,60.6 ,60.6 ,60.6 ,60.6 ,60.6 ,60.5 ,60.5 ,60.5 ,60.5 ,60.5 ,60.5 ,60.5 ,60.5 ,64.4 ,64.4 ,64.4 ,64.4 ,64.6 ,64.6 ,64.6 ,64.6 ,64.6 ,64.6 ,64.6 ,64.6 ,64.6 ,64.6 ,64.6 ,64.6 ,64.6 ,64.6 ,64.6 ,64.6 ,69.4 ,69.4 ,69.4 ,69.4 ,69.4 ,69.4 ,69.4 ,69.4 ,69.4 ,69.4 ,69.4 ,69.4 ,69.3 ,69.3 ,69.3 ,69.3 ,69.3 ,69.3 ,69.3 ,69.3 ,69.3 ,66.6 ,66.6 
